Measure Mode: wall_time
Thread ID: 7231880
Fiber ID: 9231460
Total: 0.692615
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.000     0.000     0.000     0.000       84   Gem::Specification#load_paths
  0.01      0.001     0.000     0.000     0.000       35   OptionParser#search
  0.01      0.000     0.000     0.000     0.000      114   BinData::BasePrimitive#snapshot
  0.01      0.000     0.000     0.000     0.000       93   URI::Generic#component
  0.01      0.000     0.000     0.000     0.000       37   String#to_i
  0.01      0.000     0.000     0.000     0.000       90   Bundler::SourceList#rubygems_sources
  0.01      0.001     0.000     0.000     0.001       31   BinData::Base#extract_args
  0.01      0.000     0.000     0.000     0.000       71   Module#class_variable_set
  0.01      0.000     0.000     0.000     0.000       55   Module#included
  0.01      0.001     0.000     0.000     0.001       23   BinData::AcceptedParametersPlugin::AcceptedParameters#to_syms
  0.01      0.000     0.000     0.000     0.000        3   <Class::Hash>#[]
  0.01      0.002     0.000     0.000     0.002       22   <Class::Pio::OpenFlow::Message>#inherited
  0.01      0.000     0.000     0.000     0.000       27   BasicObject#initialize
  0.01      0.000     0.000     0.000     0.000        2   Pio::Mac#parse_mac_string
  0.01      0.000     0.000     0.000     0.000       52   GLI::DSL#clear_nexts
  0.01      0.000     0.000     0.000     0.000       32   <Module::BinData::Int>#bytes_per_word
  0.01      0.001     0.000     0.000     0.001        9   BinData::AcceptedParametersPlugin#optional_parameters
  0.01      0.000     0.000     0.000     0.000       89   NilClass#to_a
  0.01      0.000     0.000     0.000     0.000        4   NameError#initialize
  0.01      0.000     0.000     0.000     0.000      179   Kernel#instance_of?
  0.01      0.000     0.000     0.000     0.000       24   Kernel#format
  0.01      0.001     0.000     0.000     0.001       18   Bundler::Dsl#gem
  0.01      0.110     0.000     0.000     0.110       24   Bundler::SpecSet#each
  0.01      0.000     0.000     0.000     0.000       12   BinData::DSLMixin::DSLParser#to_choice_params
  0.01      0.000     0.000     0.000     0.000       72   Fixnum#inspect
  0.01      0.002     0.000     0.000     0.002      151  *BinData::BasePrimitive#_value
  0.01      0.003     0.000     0.000     0.003        7   <Module::BinData::Int>#define_class
  0.01      0.003     0.000     0.000     0.003       83   Bundler::SourceList#get
  0.01      0.003     0.000     0.000     0.003       12   BinData::BitFieldFactory#const_missing
  0.01      0.004     0.000     0.000     0.004        1   <Class::Pio::Arp::Format>#ethernet_header
  0.01      0.000     0.000     0.000     0.000       55   BinData::SanitizedParameters#warn_replacement_parameter
  0.01      0.000     0.000     0.000     0.000       64   BinData::SanitizedFields#all_field_names_blank?
  0.01      0.000     0.000     0.000     0.000       13   Array#delete_if
  0.01      0.001     0.000     0.000     0.001       30   GLI::CommandLineOption#initialize
  0.01      0.002     0.000     0.000     0.002        1   <Class::Pio::Udp>#ipv4_header
  0.01      0.000     0.000     0.000     0.000      236   Fixnum#+
  0.01      0.045     0.000     0.000     0.045       27   Bundler::SpecSet#sorted
  0.01      0.001     0.000     0.000     0.001       12   OptionParser#make_switch
  0.01      0.000     0.000     0.000     0.000       31   BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.01      0.000     0.000     0.000     0.000       27   Pathname#initialize
  0.01      0.001     0.000     0.000     0.001       86   Bundler::Source::Rubygems#hash
  0.01      0.000     0.000     0.000     0.000        1   <Module::FileUtils>#commands
  0.01      0.000     0.000     0.000     0.000       25   <Module::Pio::OpenFlow::Format>#extended
  0.01      0.000     0.000     0.000     0.000       32   String#rindex
  0.01      0.001     0.000     0.000     0.001       23   BinData::BasePrimitive#assign
  0.01      0.002     0.000     0.000     0.002       23   GLI::CommandSupport#flag
  0.01      0.026     0.000     0.000     0.026        6   BinData::DSLMixin::DSLFieldParser#params_from_block
  0.01      0.001     0.000     0.000     0.001       11   BinData::Struct#initialize_shared_instance
  0.01      0.000     0.000     0.000     0.000        9   <Module::BinData::Int>#create_read_assemble_code
  0.01      0.005     0.000     0.000     0.005        1   <Class::Pio::Parser::IPv4Packet>#ipv4_header
  0.01      0.001     0.000     0.000     0.001       31   BinData::BaseArgProcessor#extract_args
  0.01      0.000     0.000     0.000     0.000       62   BinData::Base#get_parameter
  0.01      0.000     0.000     0.000     0.000        2   Module#rake_extension
  0.01      0.000     0.000     0.000     0.000        1   Kernel#methods
  0.01      0.000     0.000     0.000     0.000        9   <Module::BinData::Int>#create_read_code
  0.01      0.000     0.000     0.000     0.000      130   Fixnum#%
  0.01      0.000     0.000     0.000     0.000       83   Bundler::Source::Rubygems#can_lock?
  0.01      0.000     0.000     0.000     0.000      118   Gem::Specification#platform
  0.01      0.000     0.000     0.000     0.000        6   <Module::Pio::EthernetHeader>#included
  0.01      0.000     0.000     0.000     0.000       26   <Class::Pio::Options>#mandatory_option
  0.01      0.000     0.000     0.000     0.000       66   Fixnum#*
  0.01      0.000     0.000     0.000     0.000       85   Gem::Requirement#prerelease?
  0.01      0.000     0.000     0.000     0.000       12   Hash#update
  0.01      0.000     0.000     0.000     0.000       27   GLI::CommandSupport#topmost_ancestor
  0.01      0.000     0.000     0.000     0.000       27   GLI::CommandSupport#send_declarations_to_parent?
  0.01      0.000     0.000     0.000     0.000       62   Fixnum#/
  0.01      0.000     0.000     0.000     0.000       21   OptionParser::Switch#initialize
  0.01      0.001     0.000     0.000     0.000        4   IPAddr#initialize
  0.01      0.000     0.000     0.000     0.000        1   Bundler::Definition#lockfiles_equal?
  0.01      0.000     0.000     0.000     0.000        6   Module#attr_writer
  0.00      0.000     0.000     0.000     0.000       16   <Module::BinData::BitField>#create_params_code
  0.00      0.000     0.000     0.000     0.000        1   <Class::Struct>#new
  0.00      0.000     0.000     0.000     0.000       20   Bundler::GemHelpers#generic
  0.00      0.000     0.000     0.000     0.000       31   ERB::Compiler#add_put_cmd
  0.00      0.001     0.000     0.000     0.001       23   BinData::AcceptedParametersPlugin::AcceptedParameters#ensure_valid_names
  0.00      0.000     0.000     0.000     0.000       31   ERB::Compiler#content_dump
  0.00      0.000     0.000     0.000     0.000       15   BinData::StructArgProcessor#sanitized_field_names
  0.00      0.000     0.000     0.000     0.000       23   <Class::BinData::AcceptedParametersPlugin::AcceptedParameters>#invalid_parameter_names
  0.00      0.000     0.000     0.000     0.000       18   Module#protected
  0.00      0.001     0.000     0.000     0.001       11   Hash#==
  0.00      0.000     0.000     0.000     0.000        7   <Object::Object>#[]=
  0.00      0.000     0.000     0.000     0.000       45   String#bytesize
  0.00      0.000     0.000     0.000     0.000       64   BinData::SanitizedFields#empty?
  0.00      0.000     0.000     0.000     0.000       16   Enumerable#collect
  0.00      0.000     0.000     0.000     0.000       31   StringIO#write
  0.00      0.000     0.000     0.000     0.000       11   Bignum#to_s
  0.00      0.000     0.000     0.000     0.000        4   URI::Generic#set_scheme
  0.00      0.001     0.000     0.000     0.001        6   Pio::IPv4Address#initialize
  0.00      0.001     0.000     0.000     0.001       58   BinData::SanitizedFields#no_field_names_blank?
  0.00      0.000     0.000     0.000     0.000       31   BinData::IO::Write#write_raw
  0.00      0.001     0.000     0.000     0.001       18   Bundler::LockfileParser#parse_dependency
  0.00      0.001     0.000     0.000     0.001        7   GLI::DSL#switch
  0.00      0.002     0.000     0.000     0.002        4   Bundler::Source::Rubygems#initialize
  0.00      0.000     0.000     0.000     0.000       89   GLI::CommandSupport#flags
  0.00      0.021     0.000     0.000     0.021       25   Pio::OpenFlow::Format#header
  0.00      0.000     0.000     0.000     0.000       32   <Module::FileUtils>#options_of
  0.00      0.000     0.000     0.000     0.000       28   Module#const_set
  0.00      0.000     0.000     0.000     0.000        8   <Class::BinData::Base>#inherited
  0.00      0.000     0.000     0.000     0.000       93   <Class::URI::Generic>#component
  0.00      0.000     0.000     0.000     0.000       16   <Module::BinData::BitField>#create_do_num_bytes_code
  0.00      0.011     0.000     0.000     0.011        1   Bundler::Definition#initialize
  0.00      0.002     0.000     0.000     0.002        1   <Class::Pio::Parser::IPv4Packet>#ethernet_header
  0.00      0.000     0.000     0.000     0.000       24   BinData::Uint8#value_to_binary_string
  0.00      0.000     0.000     0.000     0.000       60   Kernel#initialize_clone
  0.00      0.000     0.000     0.000     0.000       31   BinData::RegisterNamePlugin#initialize_shared_instance
  0.00      0.000     0.000     0.000     0.000       57   Module#class_variable_get
  0.00      0.001     0.000     0.000     0.001        6   BinData::ChoiceArgProcessor#sanitize_parameters!
  0.00      0.000     0.000     0.000     0.000       10   BinData::DSLMixin::DSLParser#to_array_params
  0.00      0.045     0.000     0.000     0.045      340  *Method#call
  0.00      0.000     0.000     0.000     0.000        9   <Module::BinData::Int>#create_read_unpack_code
  0.00      0.003     0.000     0.000     0.003       85   Bundler::Source::Rubygems#specs
  0.00      0.000     0.000     0.000     0.000       27   GLI::CommandSupport#desc
  0.00      0.000     0.000     0.000     0.000       31   BinData::BasePrimitive#do_write
  0.00      0.000     0.000     0.000     0.000       16   <Module::BinData::BitField>#create_int2uint_code
  0.00      0.000     0.000     0.000     0.000       60   ERB::Compiler::Buffer#push
  0.00      0.000     0.000     0.000     0.000       16   Pathname#to_s
  0.00      0.000     0.000     0.000     0.000       73   String#length
  0.00      0.000     0.000     0.000     0.000       16   <Module::BinData::BitField>#create_clamp_code
  0.00      0.002     0.000     0.000     0.002        4   Bundler::Source::Rubygems#normalize_uri
  0.00      0.000     0.000     0.000     0.000       12   <Class::OptionParser::Switch>#guess
  0.00      0.000     0.000     0.000     0.000       27   BinData::SanitizedFields#field_names
  0.00      0.000     0.000     0.000     0.000       19   Gem::Platform#hash
  0.00      0.000     0.000     0.000     0.000       18   BinData::BasePrimitive#initialize_shared_instance
  0.00      0.000     0.000     0.000     0.000       22   BinData::SanitizedFields#length
  0.00      0.000     0.000     0.000     0.000       11   GLI::CommandLineToken#all_forms_a
  0.00      0.001     0.000     0.000     0.001       18   Bundler::Dependency#to_lock
  0.00      0.000     0.000     0.000     0.000       15   ERB::Compiler::Buffer#cr
  0.00      0.000     0.000     0.000     0.000       32   BinData::IO::Write#flushbits
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler#detect_magic_comment
  0.00      0.044     0.000     0.000     0.044       14   Enumerable#to_a
  0.00      0.000     0.000     0.000     0.000       11   Array#|
  0.00      0.000     0.000     0.000     0.000      151   Symbol#===
  0.00      0.000     0.000     0.000     0.000       50   String#[]
  0.00      0.000     0.000     0.000     0.000       16   <Module::BinData::BitField>#create_uint2int_code
  0.00      0.000     0.000     0.000     0.000        7   Bundler::Settings#key_for
  0.00      0.000     0.000     0.000     0.000       64   BinData::BasePrimitive#initialize_instance
  0.00      0.000     0.000     0.000     0.000       31   <Class::BinData::SanitizedParameters>#sanitize
  0.00      0.000     0.000     0.000     0.000       22   Array#push
  0.00      0.001     0.000     0.000     0.001       20   BinData::Uint8#assign
  0.00      0.000     0.000     0.000     0.000       47   String#*
  0.00      0.015     0.000     0.000     0.015        2   <Module::Gem>#bin_path
  0.00      0.001     0.000     0.000     0.001       12   OptionParser::List#update
  0.00      0.001     0.000     0.000     0.001        6   Pathname#join
  0.00      0.000     0.000     0.000     0.000       69   GLI::CommandSupport#switches
  0.00      0.001     0.000     0.000     0.001       30   GLI::DSL#verify_unused
  0.00      0.000     0.000     0.000     0.000       17   <Module::BinData::Int>#pack_directive_signed?
  0.00      0.000     0.000     0.000     0.000      111   Fixnum#&
  0.00      0.000     0.000     0.000     0.000        5   Module#private_class_method
  0.00      0.000     0.000     0.000     0.000        1   Bundler::SharedHelpers#clean_load_path
  0.00      0.001     0.000     0.000     0.000        4   URI::RFC3986_Parser#split
  0.00      0.002     0.000     0.000     0.002       12   OptionParser#define
  0.00      0.000     0.000     0.000     0.000       32   Fixnum#|
  0.00      0.000     0.000     0.000     0.000       15   BinData::StructArgProcessor#hidden_field_names
  0.00      0.000     0.000     0.000     0.000       57   Module#class_variable_defined?
  0.00      0.000     0.000     0.000     0.000       13   GLI::AppSupport#clear_nexts
  0.00      0.000     0.000     0.000     0.000        7   GLI::Switch#initialize
  0.00      0.000     0.000     0.000     0.000        2   <Module::Singleton>#included
  0.00      0.001     0.000     0.000     0.000       12   Enumerable#each_with_index
  0.00      0.000     0.000     0.000     0.000       12   <Module::Pio::OpenFlow>#set_message_class_name
  0.00      0.000     0.000     0.000     0.000      106   Comparable#==
  0.00      0.000     0.000     0.000     0.000       20   BinData::Struct#include_obj?
  0.00      0.002     0.000     0.000     0.002       10   BinData::SanitizedParameters#create_sanitized_object_prototype
  0.00      0.001     0.000     0.000     0.001       40   BinData::Array#new_element
  0.00      0.004     0.000     0.000     0.004       31  *BinData::Base#initialize
  0.00      0.000     0.000     0.000     0.000        6   <Class::Dir>#tmpdir
  0.00      0.001     0.000     0.000     0.001        3   Bundler::Dsl#group
  0.00      0.000     0.000     0.000     0.000       91   Hash#delete
  0.00      0.000     0.000     0.000     0.000       12   <Module::Bundler>#settings
  0.00      0.001     0.000     0.000     0.001        1   <Class::Pio::Icmp::Format>#ethernet_header
  0.00      0.001     0.000     0.000     0.001        1   <Class::Pio::Dhcp::Frame>#ethernet_header
  0.00      0.000     0.000     0.000     0.000        1   Bundler::Runtime#setup_environment
  0.00      0.054     0.000     0.000     0.054        8   Enumerable#map
  0.00      0.000     0.000     0.000     0.000       22   GLI::AppSupport#commands
  0.00      0.000     0.000     0.000     0.000        4   Integer#times
  0.00      0.000     0.000     0.000     0.000       31   BinData::IO::Write#writebytes
  0.00      0.002     0.000     0.000     0.002       15   BinData::Struct#find_obj_for_name
  0.00      0.003     0.000     0.000     0.003        1   <Class::Pio::Dhcp::Frame>#ipv4_header
  0.00      0.000     0.000     0.000     0.000        5   <Class::File>#dirname
  0.00      0.000     0.000     0.000     0.000       34   MatchData#[]
  0.00      0.000     0.000     0.000     0.000        6   <Class::File>#stat
  0.00      0.000     0.000     0.000     0.000       22   BinData::BasePrimitive#respond_to?
  0.00      0.001     0.000     0.000     0.001        1   <Class::Pio::Lldp::Frame>#ethernet_header
  0.00      0.001     0.000     0.000     0.001       17   BinData::SanitizedFields#each
  0.00      0.000     0.000     0.000     0.000        1   <Module::Psych>#libyaml_version
  0.00      0.000     0.000     0.000     0.000       18   <Class::Gem::Platform>#local
  0.00      0.000     0.000     0.000     0.000       25   BinData::SanitizedPrototype#has_parameter?
  0.00      0.001     0.000     0.000     0.001        4   URI::RFC3986_Parser#parse
  0.00      0.000     0.000     0.000     0.000        4   <Module::BinData::FloatingPoint>#define_methods
  0.00      0.000     0.000     0.000     0.000       31   String#dump
  0.00      0.001     0.000     0.000     0.001        2   ERB::Compiler#compile
  0.00      0.000     0.000     0.000     0.000        1   Bundler::SharedHelpers#set_bundle_environment
  0.00      0.001     0.000     0.000     0.001       12   OptionParser::List#append
  0.00      0.000     0.000     0.000     0.000       38   OptionParser#visit
  0.00      0.000     0.000     0.000     0.000       31   String#count
  0.00      0.000     0.000     0.000     0.000        2   <Class::File>#exist?
  0.00      0.000     0.000     0.000     0.000       66   Kernel#===
  0.00      0.000     0.000     0.000     0.000       41   GLI::DSL#desc
  0.00      0.002     0.000     0.000     0.002       20   BinData::SanitizedField#instantiate
  0.00      0.000     0.000     0.000     0.000       25   Integer#to_int
  0.00      0.000     0.000     0.000     0.000       13   ERB::Compiler#add_insert_cmd
  0.00      0.000     0.000     0.000     0.000        2   ERB#set_eoutvar
  0.00      0.201     0.000     0.000     0.201        1   Bundler::Runtime#setup
  0.00      0.001     0.000     0.000     0.001        6   BinData::Base#eval_parameter
  0.00      0.001     0.000     0.000     0.001       12   Enumerable#each_with_object
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler#prepare_trim_mode
  0.00      0.000     0.000     0.000     0.000       15   Kernel#lambda
  0.00      0.000     0.000     0.000     0.000        4   <Module::Bundler>#app_cache
  0.00      0.002     0.000     0.000     0.002        2   Pio::OpenFlow10::Match::MatchIpAddress#get
  0.00      0.002     0.000     0.000     0.002        1   <Class::Pio::Icmp::Format>#ipv4_header
  0.00      0.000     0.000     0.000     0.000        7   Pio::Mac#initialize
  0.00      0.000     0.000     0.000     0.000        2   IO#read
  0.00      0.005     0.000     0.000     0.005        1   GLI::AppSupport#run
  0.00      0.000     0.000     0.000     0.000        6   BinData::SanitizedParameters#create_sanitized_choices
  0.00      0.000     0.000     0.000     0.000       16   Kernel#freeze
  0.00      0.039     0.000     0.000     0.039        1   Bundler::Definition#specs
  0.00      0.044     0.000     0.000     0.044        5   <Module::TSort>#each_strongly_connected_component
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler#make_scanner
  0.00      0.000     0.000     0.000     0.000        8   URI::Generic#set_port
  0.00      0.000     0.000     0.000     0.000        6   Pathname#relative?
  0.00      0.002     0.000     0.000     0.002        2   OptionParser#initialize
  0.00      0.001     0.000     0.000     0.001        2   ERB#initialize
  0.00      0.013     0.000     0.000     0.013        1   Bundler::Definition#to_lock
  0.00      0.000     0.000     0.000     0.000       36   Bundler::Dependency#should_include?
  0.00      0.000     0.000     0.000     0.000        2   <Module::Singleton>#append_features
  0.00      0.003     0.000     0.000     0.003       18   Enumerable#any?
  0.00      0.000     0.000     0.000     0.000       13   GLI::CommandLineToken#names_and_aliases
  0.00      0.000     0.000     0.000     0.000       13   String#capitalize
  0.00      0.000     0.000     0.000     0.000       16   <Module::BinData::Int>#need_conversion_code?
  0.00      0.001     0.000     0.000     0.001        2   Pio::OpenFlow10::Match::MatchIpAddress#set
  0.00      0.000     0.000     0.000     0.000        4   String#unpack
  0.00      0.000     0.000     0.000     0.000        4  *Kernel#catch
  0.00      0.001     0.000     0.000     0.001        1   <Class::Pio::Udp>#ethernet_header
  0.00      0.004     0.000     0.000     0.004        2   <Class::Pio::SetEtherAddress>#action_type
  0.00      0.004     0.000     0.000     0.004       31  *BinData::Base#initialize_with_warning
  0.00      0.000     0.000     0.000     0.000        7   Bundler::Settings#[]
  0.00      0.004     0.000     0.000     0.004        6   Pio::OpenFlow::Flags#flags_32bit
  0.00      0.002     0.000     0.000     0.002        7   Bundler::SpecSet#initialize
  0.00      0.004     0.000     0.000     0.004        5   BinData::Primitive#do_write
  0.00      0.000     0.000     0.000     0.000        6   BinData::ChoiceArgProcessor#ensure_valid_keys
  0.00      0.000     0.000     0.000     0.000       54   Bundler::Dependency#current_platform?
  0.00      0.000     0.000     0.000     0.000        2   IPAddr#mask!
  0.00      0.000     0.000     0.000     0.000        2   Module#constants
  0.00      0.000     0.000     0.000     0.000       21   Bundler::Dsl#normalize_hash
  0.00      0.000     0.000     0.000     0.000        7   String#freeze
  0.00      0.000     0.000     0.000     0.000        2   File#initialize
  0.00      0.000     0.000     0.000     0.000        3   GLI::CommandFinder#find_command
  0.00      0.002     0.000     0.000     0.001        2   <Class::Pio::SetVlan>#def_format
  0.00      0.044     0.000     0.000     0.044        5   TSort#tsort
  0.00      0.000     0.000     0.000     0.000        5   Bundler::SharedHelpers#default_gemfile
  0.00      0.001     0.000     0.000     0.001        6   Enumerable#inject
  0.00      0.002     0.000     0.000     0.002        2   Bundler::SourceList#lock_sources
  0.00      0.000     0.000     0.000     0.000        1   GLI::GLIOptionParser::LegacyCommandOptionParser#find_subcommand
  0.00      0.000     0.000     0.000     0.000       29   GLI::AppSupport#subcommand_option_handling_strategy
  0.00      0.002     0.000     0.000     0.002        1   GLI::GLIOptionParser::LegacyCommandOptionParser#parse!
  0.00      0.000     0.000     0.000     0.000        2   <Module::Singleton>#__init__
  0.00      0.000     0.000     0.000     0.000        2   <Class::Pio::OpenFlow::Port>#max_port_number
  0.00      0.001     0.000     0.000     0.001        2   BasicObject#instance_exec
  0.00      0.001     0.000     0.000     0.001        3   Pio::OpenFlow10::Match::Wildcards#get
  0.00      0.000     0.000     0.000     0.000        4   Module#public_class_method
  0.00      0.000     0.000     0.000     0.000       20   Enumerable#reduce
  0.00      0.001     0.000     0.000     0.001        4   Kernel#URI
  0.00      0.000     0.000     0.000     0.000        1   Kernel#proc
  0.00      0.001     0.000     0.000     0.001        4   BinData::Array#assign
  0.00      0.000     0.000     0.000     0.000        7   Array#pack
  0.00      0.000     0.000     0.000     0.000        6   MonitorMixin#mon_enter
  0.00      0.000     0.000     0.000     0.000        3   Bundler::SharedHelpers#default_lockfile
  0.00      0.000     0.000     0.000     0.000        1   GLI::Commands::Doc#initialize
  0.00      0.000     0.000     0.000     0.000       36   Comparable#>=
  0.00      0.000     0.000     0.000     0.000        4   <Class::Pio::OpenFlow::Echo>#version
  0.00      0.000     0.000     0.000     0.000       21   Bundler::Dsl#validate_keys
  0.00      0.000     0.000     0.000     0.000        1   Trema::Command#run
  0.00      0.000     0.000     0.000     0.000        6   GLI::Flag#arguments_for_option_parser
  0.00      0.000     0.000     0.000     0.000        1   GLI::Commands::Help#initialize
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pio::OpenFlow::Port>#inherited
  0.00      0.000     0.000     0.000     0.000        2   Fixnum#**
  0.00      0.000     0.000     0.000     0.000       44   BinData::Uint8#sensible_default
  0.00      0.000     0.000     0.000     0.000       15   BinData::Struct#base_field_name
  0.00      0.000     0.000     0.000     0.000        7   Bignum#-
  0.00      0.000     0.000     0.000     0.000        5   Pio::Mac#validate_value_range
  0.00      0.000     0.000     0.000     0.000        1   Hash#clear
  0.00      0.000     0.000     0.000     0.000       21   Bundler::Dsl#valid_keys
  0.00      0.000     0.000     0.000     0.000        6   Pathname#+
  0.00      0.002     0.000     0.000     0.002       12   OptionParser#on
  0.00      0.000     0.000     0.000     0.000        4   <Module::Phut>#method_missing
  0.00      0.000     0.000     0.000     0.000        8   BinData::InitialLengthPlugin#elements
  0.00      0.000     0.000     0.000     0.000       31   String#size
  0.00      0.000     0.000     0.000     0.000       20   BinData::SanitizedFields#[]
  0.00      0.001     0.000     0.000     0.001       10   BinData::Primitive#initialize_instance
  0.00      0.000     0.000     0.000     0.000       48   Hash#key?
  0.00      0.000     0.000     0.000     0.000        6   File::Stat#writable?
  0.00      0.000     0.000     0.000     0.000        2   Pio::IPv4Address#to_s
  0.00      0.000     0.000     0.000     0.000        4   <Module::Pio::IPv4Header>#included
  0.00      0.000     0.000     0.000     0.000       20   Enumerable#member?
  0.00      0.000     0.000     0.000     0.000        4   Bundler::SourceList#rubygems_remotes
  0.00      0.001     0.000     0.000     0.001        1   GLI::GLIOptionParser#initialize
  0.00      0.000     0.000     0.000     0.000       13   GLI::CommandSupport#commands
  0.00      0.000     0.000     0.000     0.000        1   GLI::App#version
  0.00      0.000     0.000     0.000     0.000        1   Module#undef_method
  0.00      0.000     0.000     0.000     0.000       20   Array#[]=
  0.00      0.000     0.000     0.000     0.000       11   BinData::Struct#initialize_instance
  0.00      0.000     0.000     0.000     0.000        6   BinData::ChoiceArgProcessor#choices_as_hash
  0.00      0.000     0.000     0.000     0.000       14   Array#reverse!
  0.00      0.000     0.000     0.000     0.000       20   ERB::Compiler::TrimScanner#is_erb_stag?
  0.00      0.099     0.000     0.000     0.099        1   Bundler::Definition#specs_for
  0.00      0.000     0.000     0.000     0.000        3   Bundler::Definition#expand_dependencies
  0.00      0.002     0.000     0.000     0.002        4   Bundler::Source::Rubygems#add_remote
  0.00      0.000     0.000     0.000     0.000        1   <Class::IO>#read
  0.00      0.000     0.000     0.000     0.000        3   <Module::Rake::AltSystem>#define_module_function
  0.00      0.000     0.000     0.000     0.000        2   Mutex#synchronize
  0.00      0.000     0.000     0.000     0.000        6   Array#each_index
  0.00      0.000     0.000     0.000     0.000       16   <Class::Pio::Options>#option
  0.00      0.000     0.000     0.000     0.000       36   Bundler::Dependency#gem_platforms
  0.00      0.000     0.000     0.000     0.000        2   Bundler::Definition#requested_groups
  0.00      0.001     0.000     0.000     0.001        4   <Module::URI>#parse
  0.00      0.000     0.000     0.000     0.000        2   <Module::FileTest>#exist?
  0.00      0.001     0.000     0.000     0.001        2   <Class::Pio::SetIpAddress>#def_format
  0.00      0.000     0.000     0.000     0.000       31   Method#owner
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler::Buffer#close
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler::TrimScanner#initialize
  0.00      0.013     0.000     0.000     0.013        1   Bundler::Definition#lock
  0.00      0.013     0.000     0.000     0.013        1   Bundler::Environment#lock
  0.00      0.054     0.000     0.000     0.054        1   Bundler::RubygemsIntegration#replace_gem
  0.00      0.693     0.000     0.000     0.693        1   Global#[No method]
  0.00      0.000     0.000     0.000     0.000       13   OptionParser#notwice
  0.00      0.000     0.000     0.000     0.000       10   GLI::AppSupport#switches
  0.00      0.000     0.000     0.000     0.000        1   <Module::Pio::OpenFlow>#switch_version
  0.00      0.001     0.000     0.000     0.001        2   <Class::Pio::OpenFlow::Port>#port_size_in_bytes
  0.00      0.000     0.000     0.000     0.000        2   IPAddr#in_addr
  0.00      0.000     0.000     0.000     0.000        1   StringIO#initialize
  0.00      0.000     0.000     0.000     0.000       14   Fixnum#===
  0.00      0.021     0.000     0.000     0.021        1   Bundler::Definition#converge_locked_specs
  0.00      0.044     0.000     0.000     0.044        5   <Module::TSort>#tsort
  0.00      0.000     0.000     0.000     0.000        4   Bundler::RubygemsIntegration#gem_cache
  0.00      0.000     0.000     0.000     0.000        6   <Module::Bundler>#root
  0.00      0.000     0.000     0.000     0.000        2   GLI::GLIOptionBlockParser#initialize
  0.00      0.000     0.000     0.000     0.000        9   <Class::Proc>#new
  0.00      0.000     0.000     0.000     0.000       26   GLI::AppSupport#override_default
  0.00      0.000     0.000     0.000     0.000       12   GLI::Command#action
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler::Buffer#initialize
  0.00      0.001     0.000     0.000     0.001        1   Bundler::Runtime#setup_manpath
  0.00      0.000     0.000     0.000     0.000        5   Kernel#to_enum
  0.00      0.000     0.000     0.000     0.000        6   Bundler::SharedHelpers#find_gemfile
  0.00      0.000     0.000     0.000     0.000        2   ERB::Compiler#initialize
  0.00      0.021     0.000     0.000     0.021        2   Bundler::Definition#resolve
  0.00      0.000     0.000     0.000     0.000        3   <Module::FileTest>#directory?
  0.00      0.000     0.000     0.000     0.000        2   BinData::Array#initialize_shared_instance
  0.00      0.001     0.000     0.000     0.001       11   BinData::Struct#define_field_accessors
  0.00      0.000     0.000     0.000     0.000        6   BinData::SanitizedChoices#initialize
  0.00      0.000     0.000     0.000     0.000        5   GLI::Switch#arguments_for_option_parser
  0.00      0.000     0.000     0.000     0.000        8   GLI::DSL#arg_name
  0.00      0.001     0.000     0.000     0.001        2   <Class::Pio::SetTransportPort>#action_type
  0.00      0.000     0.000     0.000     0.000        2   BinData::LazyEvaluator#resolve_symbol_in_parent_context
  0.00      0.000     0.000     0.000     0.000        4   Pio::Mac#to_s
  0.00      0.004     0.000     0.000     0.004        4   <Class::Pio::OpenFlow::Echo>#inherited
  0.00      0.000     0.000     0.000     0.000        1   Kernel#rand
  0.00      0.000     0.000     0.000     0.000        4   <Module::BinData::BitField>#create_dynamic_clamp_code
  0.00      0.000     0.000     0.000     0.000        3   <Class::BinData::Base>#unregister_self
  0.00      0.000     0.000     0.000     0.000        1   Psych::Handler::DumperOptions#initialize
  0.00      0.000     0.000     0.000     0.000        6   String#include?
  0.00      0.000     0.000     0.000     0.000        2   Module#method_undefined
  0.00      0.000     0.000     0.000     0.000       18   Bundler::Definition#in_locked_deps?
  0.00      0.044     0.000     0.000     0.044        5   Enumerator#each
  0.00      0.000     0.000     0.000     0.000        4   <Module::Gem>#path
  0.00      0.000     0.000     0.000     0.000        3   <Module::Bundler>#default_lockfile
  0.00      0.000     0.000     0.000     0.000        6   MonitorMixin#mon_exit
  0.00      0.000     0.000     0.000     0.000        4   OptionParser::List#initialize
  0.00      0.000     0.000     0.000     0.000       23   GLI::DSL#flags_declaration_order
  0.00      0.000     0.000     0.000     0.000        4   GLI::CommandSupport#switch
  0.00      0.000     0.000     0.000     0.000        8   <Class::Regexp>#quote
